filename,run_number,run_path,scenario,preupsample,dataset,model,loss_function,variable,rmse,mae,bias,corr,baseline_rmse,skill
evaluation_visualization.ipynb,,,unknown,no-preupsample,1 dataset,Unknown,n/a,,,,,,,
sc1_eval_gan.ipynb,2,runs/20260506_083003_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,TP 24hr (mm),0.00652551418,0.00340574095,-0.00077785732,0.811453879,0.00653527562,0.00149365419
sc1_eval_gan.ipynb,3,runs/20260506_091044_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,U10 (m/s),1.166242838,0.89729923,-0.0753444135,0.874367476,1.244089406,0.0625731302
sc1_eval_gan.ipynb,3,runs/20260506_091044_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,V10 (m/s),1.12577939,0.864885271,0.0610939525,0.862161875,1.171017261,0.0386312588
sc1_eval_gan.ipynb,3,runs/20260506_091044_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,T2m (K),0.73033762,0.599228978,-0.0183073916,0.818091571,0.815497557,0.104426968
sc1_eval_gan.ipynb,3,runs/20260506_091044_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,TP 24hr (mm),0.00652163243,0.00340476912,-0.000764744647,0.81153065,0.00653527562,0.0020876234
sc1_eval_gan.ipynb,4,runs/20260506_095132_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,U10 (m/s),1.167332292,0.898072362,-0.0829797909,0.874351084,1.244089406,0.0616974265
sc1_eval_gan.ipynb,4,runs/20260506_095132_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,V10 (m/s),1.126182079,0.865219176,0.060379155,0.862141192,1.171017261,0.0382873791
sc1_eval_gan.ipynb,4,runs/20260506_095132_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,T2m (K),0.729864478,0.598584056,-0.0103035262,0.818118691,0.815497557,0.105007155
sc1_eval_gan.ipynb,4,runs/20260506_095132_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,TP 24hr (mm),0.00652329857,0.00340457051,-0.000772396394,0.811533332,0.00653527562,0.00183267836
sc1_eval_gan.ipynb,5,runs/20260506_103218_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,U10 (m/s),1.167748094,0.89842391,-0.0907789096,0.874274135,1.244089406,0.0613632046
sc1_eval_gan.ipynb,5,runs/20260506_103218_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,V10 (m/s),1.126636744,0.865601003,0.0600078069,0.861973941,1.171017261,0.0378991148
sc1_eval_gan.ipynb,5,runs/20260506_103218_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,T2m (K),0.730321407,0.599016905,-0.0114364671,0.817985237,0.815497557,0.104446848
sc1_eval_gan.ipynb,5,runs/20260506_103218_lead1d,scenario1,no-preupsample,2 dataset,GAN,n/a,TP 24hr (mm),0.00652424339,0.00340606668,-0.00076353614,0.811431229,0.00653527562,0.001688105
sc1_eval_gan_preupsample.ipynb,1,runs/20260506_012455_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,U10 (m/s),1.129609942,0.865457952,-0.0378915705,0.881207526,1.244089406,0.0920186792
sc1_eval_gan_preupsample.ipynb,1,runs/20260506_012455_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,V10 (m/s),1.106223822,0.847168684,0.0297813378,0.866877735,1.171017261,0.0553309005
sc1_eval_gan_preupsample.ipynb,1,runs/20260506_012455_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,T2m (K),0.695499718,0.562867939,-0.00638577156,0.820104539,0.815497557,0.147146779
sc1_eval_gan_preupsample.ipynb,1,runs/20260506_012455_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,TP 24hr (mm),0.00646937825,0.00335453753,-0.000720994489,0.812103808,0.00653527562,0.0100833353
sc1_eval_gan_preupsample.ipynb,2,runs/20260506_124108_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,U10 (m/s),1.129990697,0.86573118,-0.0384690315,0.880926013,1.244089406,0.0917126284
sc1_eval_gan_preupsample.ipynb,2,runs/20260506_124108_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,V10 (m/s),1.105824351,0.846836805,0.0295146853,0.86691463,1.171017261,0.0556720315
sc1_eval_gan_preupsample.ipynb,2,runs/20260506_124108_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,T2m (K),0.696419477,0.563628793,-0.00586472731,0.820097506,0.815497557,0.146018928
sc1_eval_gan_preupsample.ipynb,2,runs/20260506_124108_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,TP 24hr (mm),0.00646934146,0.00335519342,-0.000719677773,0.812048376,0.00653527562,0.0100889644
sc1_eval_gan_preupsample.ipynb,3,runs/20260507_040057_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,U10 (m/s),1.129990697,0.86573118,-0.0384690315,0.880926013,1.244089406,0.0917126284
sc1_eval_gan_preupsample.ipynb,3,runs/20260507_040057_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,V10 (m/s),1.105824351,0.846836805,0.0295146853,0.86691463,1.171017261,0.0556720315
sc1_eval_gan_preupsample.ipynb,3,runs/20260507_040057_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,T2m (K),0.696419477,0.563628793,-0.00586472731,0.820097506,0.815497557,0.146018928
sc1_eval_gan_preupsample.ipynb,3,runs/20260507_040057_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,TP 24hr (mm),0.00646934146,0.00335519342,-0.000719677773,0.812048376,0.00653527562,0.0100889644
sc1_eval_gan_preupsample.ipynb,4,runs/20260508_034249_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,U10 (m/s),1.129990697,0.86573118,-0.0384690315,0.880926013,1.244089406,0.0917126284
sc1_eval_gan_preupsample.ipynb,4,runs/20260508_034249_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,V10 (m/s),1.105824351,0.846836805,0.0295146853,0.86691463,1.171017261,0.0556720315
sc1_eval_gan_preupsample.ipynb,4,runs/20260508_034249_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,T2m (K),0.696419477,0.563628793,-0.00586472731,0.820097506,0.815497557,0.146018928
sc1_eval_gan_preupsample.ipynb,4,runs/20260508_034249_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,TP 24hr (mm),0.00646934146,0.00335519342,-0.000719677773,0.812048376,0.00653527562,0.0100889644
sc1_eval_gan_preupsample.ipynb,5,runs/20260508_074718_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,U10 (m/s),1.129990697,0.86573118,-0.0384690315,0.880926013,1.244089406,0.0917126284
sc1_eval_gan_preupsample.ipynb,5,runs/20260508_074718_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,V10 (m/s),1.105824351,0.846836805,0.0295146853,0.86691463,1.171017261,0.0556720315
sc1_eval_gan_preupsample.ipynb,5,runs/20260508_074718_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,T2m (K),0.696419477,0.563628793,-0.00586472731,0.820097506,0.815497557,0.146018928
sc1_eval_gan_preupsample.ipynb,5,runs/20260508_074718_lead1d,scenario1,preupsample,2 dataset,GAN,n/a,TP 24hr (mm),0.00646934146,0.00335519342,-0.000719677773,0.812048376,0.00653527562,0.0100889644
sc1_eval_resnet18.ipynb,1,runs TA/sc1_resnet/20260406_181435_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,U10 (m/s),1.357443333,1.041564822,-0.130376309,0.842736363,1.244089406,-0.0911139712
sc1_eval_resnet18.ipynb,1,runs TA/sc1_resnet/20260406_181435_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,V10 (m/s),1.315719843,1.00858438,0.152082279,0.823096395,1.171017261,-0.123569982
sc1_eval_resnet18.ipynb,1,runs TA/sc1_resnet/20260406_181435_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,T2m (K),0.743326128,0.598203182,-0.00726106344,0.761154413,0.815497557,0.0884998719
sc1_eval_resnet18.ipynb,1,runs TA/sc1_resnet/20260406_181435_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,TP 24hr (mm),0.00764843496,0.00402807072,-0.00140987872,0.732783079,0.00653527562,-0.170330893
sc1_eval_resnet18.ipynb,2,runs TA/sc1_resnet/20260406_181625_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,U10 (m/s),1.335732937,1.026845694,0.0399857461,0.841352165,1.244089406,-0.0736631387
sc1_eval_resnet18.ipynb,2,runs TA/sc1_resnet/20260406_181625_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,V10 (m/s),1.292346478,0.994488239,-0.0279679187,0.82073468,1.171017261,-0.103610101
sc1_eval_resnet18.ipynb,2,runs TA/sc1_resnet/20260406_181625_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,T2m (K),0.725781739,0.579657316,0.00678778673,0.757769823,0.815497557,0.110013595
sc1_eval_resnet18.ipynb,2,runs TA/sc1_resnet/20260406_181625_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,TP 24hr (mm),0.0077684545,0.004080554,-0.00167393952,0.724610925,0.00653527562,-0.188695771
sc1_eval_resnet18.ipynb,3,runs TA/sc1_resnet/20260406_181910_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,U10 (m/s),1.343588233,1.030378938,0.00854819641,0.843055964,1.244089406,-0.0799772316
sc1_eval_resnet18.ipynb,3,runs TA/sc1_resnet/20260406_181910_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,V10 (m/s),1.305102587,1.001012325,0.0551291443,0.823350668,1.171017261,-0.114503287
sc1_eval_resnet18.ipynb,3,runs TA/sc1_resnet/20260406_181910_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,T2m (K),0.734442592,0.589807212,0.0266921557,0.760602534,0.815497557,0.0993932654
sc1_eval_resnet18.ipynb,3,runs TA/sc1_resnet/20260406_181910_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,TP 24hr (mm),0.00769328466,0.00405013328,-0.00143724459,0.728629351,0.00653527562,-0.177193603
sc1_eval_resnet18.ipynb,4,runs TA/sc1_resnet/20260406_182113_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,U10 (m/s),1.371025324,1.053135037,-0.252747089,0.840935051,1.244089406,-0.102031186
sc1_eval_resnet18.ipynb,4,runs TA/sc1_resnet/20260406_182113_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,V10 (m/s),1.305184722,0.999763012,0.116365418,0.822589815,1.171017261,-0.114573427
sc1_eval_resnet18.ipynb,4,runs TA/sc1_resnet/20260406_182113_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,T2m (K),0.750172377,0.604776859,-0.0344180278,0.759782314,0.815497557,0.0801046915
sc1_eval_resnet18.ipynb,4,runs TA/sc1_resnet/20260406_182113_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,TP 24hr (mm),0.00773596717,0.00404549483,-0.00166412606,0.731638372,0.00653527562,-0.183724699
sc1_eval_resnet18.ipynb,5,runs TA/sc1_resnet/20260406_182300_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,U10 (m/s),1.360341072,1.042616844,-0.238841191,0.842332542,1.244089406,-0.0934431763
sc1_eval_resnet18.ipynb,5,runs TA/sc1_resnet/20260406_182300_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,V10 (m/s),1.314805746,1.006684899,0.15171729,0.822164118,1.171017261,-0.122789381
sc1_eval_resnet18.ipynb,5,runs TA/sc1_resnet/20260406_182300_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,T2m (K),0.73679167,0.591442943,0.02141078,0.761241019,0.815497557,0.0965127189
sc1_eval_resnet18.ipynb,5,runs TA/sc1_resnet/20260406_182300_lead1d,scenario1,no-preupsample,2 dataset,ResNet18,n/a,TP 24hr (mm),0.00771048944,0.00404046895,-0.00158855855,0.7313416,0.00653527562,-0.179826206
sc1_eval_resnet18_preupsample.ipynb,1,runs TA/sc1_resnet_preupsample/20260408_134622_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,U10 (m/s),1.073212147,0.813617587,-0.0106808823,0.890301168,1.244089406,0.13735127
sc1_eval_resnet18_preupsample.ipynb,1,runs TA/sc1_resnet_preupsample/20260408_134622_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,V10 (m/s),1.067841053,0.812488079,0.114688918,0.873691678,1.171017261,0.0881081873
sc1_eval_resnet18_preupsample.ipynb,1,runs TA/sc1_resnet_preupsample/20260408_134622_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,T2m (K),0.57368499,0.447497308,0.0280065984,0.83052671,0.815497557,0.296521509
sc1_eval_resnet18_preupsample.ipynb,1,runs TA/sc1_resnet_preupsample/20260408_134622_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,TP 24hr (mm),0.00647104904,0.00333919725,-0.000815171807,0.80969584,0.00653527562,0.00982767777
sc1_eval_resnet18_preupsample.ipynb,2,runs TA/sc1_resnet_preupsample/20260408_134836_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,U10 (m/s),1.071914792,0.813091695,0.0393821634,0.890493155,1.244089406,0.138394084
sc1_eval_resnet18_preupsample.ipynb,2,runs TA/sc1_resnet_preupsample/20260408_134836_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,V10 (m/s),1.066888332,0.813224733,0.130940855,0.873606622,1.171017261,0.0889217711
sc1_eval_resnet18_preupsample.ipynb,2,runs TA/sc1_resnet_preupsample/20260408_134836_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,T2m (K),0.572588444,0.446671277,0.0264791995,0.830739498,0.815497557,0.297866144
sc1_eval_resnet18_preupsample.ipynb,2,runs TA/sc1_resnet_preupsample/20260408_134836_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,TP 24hr (mm),0.0064366376,0.00333316787,-0.000735154375,0.810406625,0.00653527562,0.0150931692
sc1_eval_resnet18_preupsample.ipynb,3,runs TA/sc1_resnet_preupsample/20260408_135049_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,U10 (m/s),1.070898652,0.811531782,0.00997758564,0.890068889,1.244089406,0.139210858
sc1_eval_resnet18_preupsample.ipynb,3,runs TA/sc1_resnet_preupsample/20260408_135049_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,V10 (m/s),1.060125232,0.806662321,0.0498253852,0.87407738,1.171017261,0.0946971775
sc1_eval_resnet18_preupsample.ipynb,3,runs TA/sc1_resnet_preupsample/20260408_135049_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,T2m (K),0.572134554,0.446415156,0.0201317649,0.831177175,0.815497557,0.298422724
sc1_eval_resnet18_preupsample.ipynb,3,runs TA/sc1_resnet_preupsample/20260408_135049_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,TP 24hr (mm),0.00645594811,0.00333078089,-0.000779985741,0.810198307,0.00653527562,0.0121383576
sc1_eval_resnet18_preupsample.ipynb,4,runs TA/sc1_resnet_preupsample/20260408_135301_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,U10 (m/s),1.069359779,0.810445845,-0.0231482852,0.89022243,1.244089406,0.140447806
sc1_eval_resnet18_preupsample.ipynb,4,runs TA/sc1_resnet_preupsample/20260408_135301_lead1d,scenario1,preupsample,2 dataset,ResNet18,n/a,V10 (m/s),1.063836455,0.809425235,0.0751418397,0.873988867,1.171017261,0.091527947
