filename,run_number,scenario,preupsample,dataset,model,loss_function,variable,rmse,mae,bias,corr,baseline_rmse,skill
sc1_convnext_mae_run1_executed.ipynb,1,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,U10 (m/s),1.8455,1.4249,-0.197,0.7628,1.2441,-0.4834
sc1_convnext_mae_run1_executed.ipynb,1,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,V10 (m/s),1.7881,1.3786,0.0349,0.7202,1.171,-0.527
sc1_convnext_mae_run1_executed.ipynb,1,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,T2m (K),1.0261,0.8563,0.1297,0.667,0.8155,-0.2582
sc1_convnext_mae_run1_executed.ipynb,1,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.0095,0.0051,-0.0019,0.5573,0.0065,-0.4553
sc1_convnext_mae_run2_executed.ipynb,2,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,U10 (m/s),1.8454,1.4247,-0.1953,0.7627,1.2441,-0.4833
sc1_convnext_mae_run2_executed.ipynb,2,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,V10 (m/s),1.7884,1.3789,0.0354,0.7201,1.171,-0.5273
sc1_convnext_mae_run2_executed.ipynb,2,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,T2m (K),1.0261,0.8563,0.1306,0.667,0.8155,-0.2583
sc1_convnext_mae_run2_executed.ipynb,2,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.0095,0.0051,-0.0019,0.5573,0.0065,-0.4552
sc1_convnext_mae_run3_executed.ipynb,3,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,U10 (m/s),1.6673,1.2842,-0.0877,0.7898,1.1679,-0.4276
sc1_convnext_mae_run3_executed.ipynb,3,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,V10 (m/s),1.6053,1.2359,0.0668,0.7601,1.0916,-0.4706
sc1_convnext_mae_run3_executed.ipynb,3,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,T2m (K),0.9434,0.7825,0.1295,0.7003,0.7312,-0.2902
sc1_convnext_mae_run3_executed.ipynb,3,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.009,0.0048,-0.0017,0.6108,0.006,-0.5056
sc1_convnext_mae_run4_executed.ipynb,4,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,U10 (m/s),1.8445,1.4242,-0.1911,0.7627,1.2441,-0.4826
sc1_convnext_mae_run4_executed.ipynb,4,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,V10 (m/s),1.7883,1.3787,0.0375,0.7202,1.171,-0.5272
sc1_convnext_mae_run4_executed.ipynb,4,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,T2m (K),1.026,0.8563,0.1297,0.6669,0.8155,-0.2581
sc1_convnext_mae_run4_executed.ipynb,4,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.0095,0.0051,-0.0019,0.5574,0.0065,-0.4551
sc1_convnext_mae_run5_executed.ipynb,5,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,U10 (m/s),1.6673,1.2842,-0.0877,0.7898,1.1679,-0.4276
sc1_convnext_mae_run5_executed.ipynb,5,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,V10 (m/s),1.6053,1.2359,0.0668,0.7601,1.0916,-0.4706
sc1_convnext_mae_run5_executed.ipynb,5,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,T2m (K),0.9434,0.7825,0.1295,0.7003,0.7312,-0.2902
sc1_convnext_mae_run5_executed.ipynb,5,scenario1-convnext-mae,no-preupsample,2 dataset,ConvNeXt,mae,TP 24hr (mm),0.009,0.0048,-0.0017,0.6108,0.006,-0.5056
sc1_dl4ds.ipynb,,scenario1-dl4ds-forecast-correction,no-preupsample,2 dataset,DL4DS,mae,U10 (m/s),1.08,0.8201,0.0203,0.8874,1.1679,0.0753
